ProductGroupCode	Description	ProductGroupLevel
1012180001282	Custom Consulting Services	3
1012180001283	Deployment Services	3
1012180001284	Hardware Configuration Services	3
1012180001285	Integration (BTO/CTO) Services	3
1012180001286	Inventory Services	3
1012180001287	Mobile Wireless Config Services	3
1012180001288	Project Management Services	3
1012180001289	Recovery Services	3
1012180001290	Remote Monitoring Services	3
1012180001291	Site Survey Services	3
1012180001292	Software Configuration Services	3
1012180001293	Wireless Networking Services	3
1012180002143	Support Services	3
1012181001294	Ingram Micro Choice Adv Services	3
1012181001295	Ingram Micro Help Desk Services	3
1012181001296	Ingram Micro Integration Services	3
1012181001297	Ingram Micro Logistics Services	3
1012181001298	Ingram Micro Notes Content Services	3
1012181001299	Ingram Micro Services Network- IMSN	3
1012182001300	ASP Services	3
1012182001301	Broadband Services	3
1012182001302	ISP Services	3
1012182001303	Wireless Communications Services	3
1013183001304	DLP Projectors	3
1013183001305	LCD Projectors	3
1013183001306	Overhead Projectors	3
1013183002108	LCoS Projectors	3
1013184001307	Portable Projection Screens	3
1013184001308	Pull Down Projection Screens	3
1014012002202	Gamepads	3
1014012002203	Joysticks	3
1014012002204	Steering Wheels	3
1014036002316	Console Accessories	3
1014036002317	Game Cases	3
1014036002318	Other Gaming Accessories	3
1014036002319	Video Game Cables & Adapters	3
1014036002392	Gaming Subscriptions & Membership Cards	3
1014185001309	Microsoft Game Systems	3
1014185001310	Nintendo Game Systems	3
1014185001311	Sony Game Systems	3
1014186001312	1st Person Shooter Games	3
1014186001313	Action/Adventure Games	3
1014186001314	Compilation Games	3
1014186001315	Family/Children's Games	3
1014186001316	Fighting Games	3
1014186001317	Music Games	3
1014186001318	Puzzle Games	3
1014186001319	Racing Games	3
1014186001320	Role Playing Games	3
1014186001321	Simulation Games	3
1014186001322	Sports Games	3
1014186001323	Strategy Games	3
1015187001324	Communication Software Suites	3
1015187001325	E-Mail Software	3
1015187001326	Faxing Software	3
1015187001327	Messaging/Collab Server Software	3
1015187001328	Mobile/Synchronization Software	3
1015187001329	Communication ESD SW with Download Prote	3
1015187001330	Communication ESD SW without Download Pr	3
1015188001331	Remote Access Software	3
1015188001332	Terminal/Host Emulation Software	3
1015188001333	Thin Client Software	3
1015188001334	Host Access ESD SW with Download Protect	3
1015188001335	Host Access ESD SW without Download Prot	3
1015189001336	Digital Signage Software	3
1015189001337	Animation Software	3
1015189001338	CAD/CAM Software	3
1015189001339	Clip Art Software	3
1015189001340	Color Matching Software	3
1015189001341	Creative Printing Software	3
1015189001342	Draw/Paint Software	3
1015189001343	Font Software	3
1015189001344	Imaging Suite Software	3
1015189001345	Multimedia Player Software	3
1015189001346	OCR & Scanning Software	3
1015189001347	Photo Editing/Album Software	3
1015189001348	Video/Audio Editing Software	3
1015189001349	Digital Imaging & Signage ESD SW with Do	3
1015189001350	Digital Imaging & Signage ESD SW without	3
1015190001351	Accounting/Billing Software	3
1015190001352	ERP Software	3
1015190001353	Financial Suite Software	3
1015190001354	Payroll Software	3
1015190001355	Personal Finance Software	3
1015190001356	Tax Software	3
1015190001357	Finance ESD SW with Download Protection	3
1015190001358	Finance ESD SW without Download Protecti	3
1015191001359	Back-up Software	3
1015191001360	Disaster/File Recovery Software	3
1015191001361	Data Recording/Copying & Migration Softw	3
1015191001362	Storage Management Software	3
1015191001363	Virtual Drive Software	3
1015191001364	Storage ESD SW with Download Protection	3
1015191001365	Storage ESD SW without Download Protecti	3
1015192001366	Calendar/Contact Management	3
1015192001367	Desktop Publishing Software	3
1015192001368	Integrated Office Suites	3
1015192001369	Labeling Software	3
1015192001370	Presentation Software	3
1015192001371	Spreadsheet Software	3
1015192001372	Wordprocessor Software & Add-ons	3
1015192001373	Voice Dictation/Recognition Softw	3
1015192001374	Office Productivity ESD SW with Download	3
1015192001375	Office Productivity ESD SW without Downl	3
1015193001376	IBM Operating System Software	3
1015193001377	Linux Operating System Software	3
1015193001378	Mac Operating System Software	3
1015193001379	Netware Operating System	3
1015193001380	Unix Operating System Software	3
1015193001381	Windows Operating System Software	3
1015193001382	DOS Operating System Software	3
1015193001383	Operating System ESD SW with Download Pr	3
1015193001384	Operating System ESD SW without Download	3
1015194001385	Application Development	3
1015194001386	Developer Suites	3
1015194001387	Flow-charting/Diagramming Software	3
1015194001388	Internet/Web Development	3
1015194001389	Object Libraries	3
1015194001390	Programming Languages/Compilers	3
1015194001391	Version Management Software	3
1015194001392	Developer ESD SW with Download Protectio	3
1015194001393	Developer ESD SW without Download Protec	3
1015195001394	Almanac Software	3
1015195001395	Bundles/Reference Suites	3
1015195001396	Business/Career/Resume Development Softw	3
1015195001397	College Handbook Software	3
1015195001398	Dictionary Software	3
1015195001399	Encyclopedia Software	3
1015195001400	Internet Reference Software	3
1015195001401	Language Translation Software	3
1015195001402	Legal Software	3
1015195001403	Map/Atlas Software	3
1015195001404	Medical Software	3
1015195001405	Phone Directory Software	3
1015195001406	Statistics Software	3
1015195001407	Technical Reference Software	3
1015195001408	Test Preparation Software	3
1015195001409	Reference ESD SW with Download Protectio	3
1015195001410	Reference ESD SW without Download Protec	3
1015195002145	Reference Software	3
1015195002146	Education Software	3
1015196001411	Art & Music Learning Software	3
1015196001412	Bundled Education Software	3
1015196001413	Computer Science Software	3
1015196001414	Creativity Software	3
1015196001415	Critical Thinking Software	3
1015196001416	Electronic Book Software	3
1015196001417	Foreign Language Software	3
1015196001418	Geography Software	3
1015196001419	History/News Software	3
1015196001420	Language Arts Software	3
1015196001421	Literature Software	3
1015196001422	Math Software	3
1015196001423	Multi-subject Software	3
1015196001424	Reading Software	3
1015196001425	Science Software	3
1015196001426	Spelling Software	3
1015196001427	Study Skills Software	3
1015196001428	Teacher Resource Software	3
1015196001429	Typing Software	3
1015196001430	Writing Software	3
1015196001431	Education ESD Software with Download Pro	3
1015196001432	Education ESD Software without Download	3
1015197001433	Action/Adventure Game Software	3
1015197001434	Arcade Games	3
1015197001435	Card/Casino Game Software	3
1015197001436	Family/Children's Game Software	3
1015197001437	Fighting Game Software	3
1015197001438	First Person Shooter Game Software	3
1015197001439	Other Game Software	3
1015197001440	Role Playing Game Software	3
1015197001441	Simulation Game Software	3
1015197001442	Sports Game Software	3
1015197001443	Strategy Game Software	3
1015197001444	Game ESD Software with Download Protecti	3
1015197001445	Game ESD Software without Download Prote	3
1015198001446	Access Control Software	3
1015198001447	Anti-Spam Software	3
1015198001448	Authentication Software	3
1015198001449	Bandwidth Management Software	3
1015198001450	Content Filtering/Management Softw	3
1015198001451	Encryption Software	3
1015198001452	Firewall/VPN Software	3
1015198001453	Intrusion Detection (IDS) Software	3
1015198001454	Regulation Compliance Software	3
1015198001455	Security Management Software	3
1015198001456	Security Suite Software	3
1015198001457	Surveillance Software	3
1015198001458	Virus Protection Software	3
1015198001459	Vulnerability Assessment Software	3
1015198001460	Security ESD Software with Download Prot	3
1015198001461	Security ESD Software without Download P	3
1015198002093	Anti-Theft Software	3
1015198002094	Physical Access Control Mgr Sw	3
1015199001462	Application Management/Monitoring Softwa	3
1015199001463	Clustering Software	3
1015199001464	Help Desk Software	3
1015199001465	IT Asset Management Software	3
1015199001466	Network Analysis Software	3
1015199001467	Network Management/Monitoring Software	3
1015199001468	UPS Management Software	3
1015199001469	IT Management ESD SW with Download Prote	3
1015199001470	IT Management ESD SW without Download Pr	3
1015200001471	File Conversion Software	3
1015200001472	File/Internet Sharing Software	3
1015200001473	O/S Management & Partitioning Softw	3
1015200001474	Screen Saver Software	3
1015200001475	System Optimization Software	3
1015200001476	Utility Suites	3
1015200001477	Utility ESD SW with Download Protection	3
1015200001478	Utility ESD SW without Download Protecti	3
1015201001479	Astrology Software	3
1015201001480	Auto/Transportation Software	3
1015201001481	Bible/Religion Software	3
1015201001482	Bundled Personal Interest Software	3
1015201001483	Buying/Selling Software	3
1015201001484	Cooking Software	3
1015201001485	Cultural Software	3
1015201001486	Gardening Software	3
1015201001487	Genealogy Software	3
1015201001488	Greeting Card Software	3
1015201001489	Health/Nutrition Software	3
1015201001490	Home Design/Repair Software	3
1015201001491	Lottery Software	3
1015201001492	Movies	3
1015201001493	Music/Sound Software	3
1015201001494	Parenting Software	3
1015201001495	Personal Improvement Software	3
1015201001496	Personal Organizer Software	3
1015201001497	Pet Knowledge Software	3
1015201001498	Sport Knowledge Software	3
1015201001499	Travel Software	3
1015201001500	Wedding Software	3
1015201001501	Personal Interest ESD SW with Download P	3
1015201001502	Personal Interest ESD SW without Downloa	3
1015201002147	General Interest Software	3
1015202001503	Database Software	3
1015202001504	Database Plug-ins/Development Tools	3
1015202001505	Document/Info Management Software	3
1015202001506	Forms Design Software	3
1015202001507	PDF Creation & Management Software	3
1015202001508	Report Creation Software	3
1015202001509	Data Management ESD SW with Download Pro	3
1015202001510	Data Management ESD SW without Download	3
1015203001511	Application Server Software	3
1015203001512	Business Solution Suite Software	3
1015203001513	CRM Software	3
1015203001514	Ecommerce Software	3
1015203001515	Human Resources Software	3
1015203001516	Learning Management Software	3
1015203001517	Middleware Software	3
1015203001518	Portal Software	3
1015203001519	Process Management Software	3
1015203001520	Project Management Software	3
1015203001521	Server Suite Software	3
1015203001522	Business Solution ESD SW with Download P	3
1015203001523	Business Solution ESD SW without Downloa	3
1015204001524	Hypervisor SW  Srvr Virtualization	3
1015204001525	Hypervisor Mgmt SW  Srvr Virtualization	3
1015204001526	Utility SW  Srvr Virtualization	3
1015204002048	Hypervisor SW  DT Virtualization	3
1015204002049	Hypervisor Mgmt SW  DT Virtualization	3
1015204002050	Utility SW  DT Virtualization	3
1016005002069	Anti-Theft Devices	3
1016005002070	Environmental Monitors & Components	3
1016005002071	Emergency Alerting Systems	3
1016005002072	Fire & Intrusion Alarm Systems	3
1016005002073	Metal Detectors	3
1016006002074	Biometric Security Devices & Components	3
1016006002075	Observation/Security Bundles	3
1016006002076	Physical Security Options & Accs.	3
1016006002077	Physical Access Control Mgmnt	3
1016006002078	Proximity Devices	3
1016007002079	Security Digital Video Recorders	3
1016007002080	Network Video Recorders	3
1016007002081	Hybrid Video Recorders	3
1016007002082	Network Video Surveillance Cameras	3
1016007002083	Analog Video Surveillance Cameras	3
1016007002084	Video Surveillance Components	3
1016007002085	Video Encoders & Components	3
1016007002086	Video Surveillance Enclosures	3
1017033002286	Camera Accessory Kits	3
1017033002287	Camera Cables	3
1017033002288	Camera Cases	3
1017033002289	Camera Docks/ Cradles	3
1017033002290	Camera Flash/Lights	3
1017033002291	Camera Lens/Adapters/Filters/Hoods	3
1017033002292	Camera Power Options	3
1017033002293	Camera Remote Controls	3
1017033002294	Camera Tripods & Monopods	3
1017034002295	Document/Network Scan Servers	3
1017034002296	Scanner ADF Auto Document Feeders	3
1017034002297	Scanner Carrying Cases	3
1017034002298	Scanner Consumables/AC Adapters & Kits	3
1017034002299	Scanner Film Holders/Feeders	3
1017034002300	Scanner Imprinters & Endorsers	3
1017034002301	Scanner Interface Cards	3
1017034002302	Scanner Slide Adapters	3
1017205001527	3D Scanners	3
1017205001528	Business/ID Card Scanners	3
1017205001529	Handheld Scanners	3
1017205001530	Home/Office Scanners	3
1017205001531	Photo Scanners	3
1017205001532	Production/Enterprise Scanners	3
1017205001533	Slide/Film/Transparency Scanners	3
1017206001534	General Use Binoculars	3
1017206001535	Night Vision Binoculars	3
1017206001536	General Use Monoculars	3
1017206001537	Night Vision Monoculars	3
1017207001538	Analog (8mm/Hi8) Camcorders	3
1017207001539	Camera/Printer Bundles	3
1017207001540	Digital Cameras	3
1017207001541	Digital camcorders	3
1017207001542	Film Cameras	3
1017207001543	Webcams	3
1017207001544	Underwater Cameras	3
1021013002148	nVidia Graphics Cards	3
1021013002149	AMD Graphics Cards	3
1021014002153	CD Drives & Burners	3
1021014002154	CD/DVD Duplicators	3
1021014002155	DVD Drives & Burners	3
1021014002156	Blu-Ray Drives & Burners	3
1021208002021	AMD Socket AM3 Mthrbrds	3
1021208002022	AMDScktFDualMltiProcsrMthrbrds	3
1021208002023	AMD Socket PGA939 Mthrbrds	3
1021208002024	AMD Socket PGA940 Mthrbrds	3
1021208002025	Intel Socket LGA775 Mthrbrds	3
1021208002026	Intel Socket LGA1366 DualMulti-Proc MB	3
1021208002027	Intel Socket LGA771 Motherboards	3
1021208002028	Intel Socket PGA478 Mthrbrds	3
1021208002029	Intel Socket PGA479 Mthrbrds	3
1021208002030	Intel Socket PGA604 Mthrbrds	3
1021208002031	IntelScktBGA437MthrbrdswPrcsr	3
1021208002039	AMD Socket AM2 Motherboards	3
1021208002040	AMD Socket AM2+ Motherboards	3
1021208002041	Motherboard Components	3
1021208002042	IntelScktBGA479wProcsr	3
1021208002045	UltraSparc Motherboards	3
1021208002055	Intel Socket LGA1155 Motherboard	3
1021208002056	Intel Socket LGA1156 Motherboard	3
1021208002057	AMD Socket LGA1944/G34 MB	3
1021208002059	Intel Socket LGA1567 Motherboards	3
1021208002065	AMD Socket AM3+ Motherboards	3
1021208002066	AMD Socket BGA413 MB w/ Proc	3
1021208002109	Intel Single Processor Motherboards	3
1021208002110	Intel Multi Processor Motherboards	3
1021208002111	Intel Mobile Processor Motherboards	3
1021208002112	AMD Single Processor Motherboards	3
1021208002113	AMD Multi Processor Motherboards	3
1021208002114	AMD Mobile Processor Motherboards	3
1021208002345	AMD Motherboards	3
1021208002346	Intel Motherboards	3
1021209001560	Computer Case Accessories	3
1021209001561	PC Cases	3
1021209001562	Server Cases	3
1021210001563	Case Specific Power Supplies	3
1021210001564	Generic Power Supplies	3
1021210001565	System Specific Power Supplies	3
1021211001566	AMD Mobile Processors	3
1021211001567	AMD Multi Processors	3
1021211001568	AMD Single Processors	3
1021211001569	Intel Mobile Processors	3
1021211001570	Intel Multi Processors	3
1021211001571	Intel Single Processors	3
1021211001572	Processor Accelerators	3
1021211002046	UltraSparc Processors	3
1021211002347	AMD Processors	3
1021211002348	Intel Processors	3
1021212001573	Generic Memory	3
1021212001574	Proprietary Memory	3
1021213001575	Scan Converters	3
1021213001576	TV & Audio Tuners	3
1021213001577	Video Capture Cards	3
1021213001578	Video Cards	3
1021213001579	Video Combo Cards & Devices	3
1021214001580	External Sound Devices	3
1021214001581	Internal Sound Cards	3
1021402002061	BTO Options for Servers	3
1021402002062	BTO Options for PCs	3
1021402002063	BTO Options for Workstations	3
1021402002064	BTO Options for Notebooks	3
1021402002067	BTO Options for Services	3
1021402002068	BTO Options for Software	3
1022215001582	File Transfer Cables	3
1022215001583	Firewire Cables & Adapters	3
1022215001584	Telephony Cables & Adapters	3
1022215001585	Serial Cables & Adapters	3
1022215001586	USB Cables & Adapters	3
1022216001587	Power Cables	3
1022216001588	Extension Cords	3
1022217001589	Audio & Video Cables & Adapters	3
1022217001590	Audio Cables & Adapters	3
1022217001591	Monitor Cables & Adapters	3
1022217001592	Speaker Wire	3
1022217001593	Video Cables & Adapters	3
1022218001594	Joystick Cables & Adapters	3
1022218001595	Keyboard/Mouse Cables & Adapters	3
1022218001596	KVM Switch Cables & Adapters	3
1022218001597	Modem Cables & Adapters	3
1022218001598	Printer Cables & Adapters	3
1022219001599	Twisted Pair Cables & Adapters	3
1022219001600	Fibre Optic Cables & Adapters	3
1022219001601	Modular Connectors	3
1022219001602	Proprietary Network Device Cables	3
1022219001603	Token Ring Cables	3
1022219001604	Ethernet Coax Cables & Adapters	3
1022220001605	Cable Management	3
1022220001606	Jacks; Outlets & Faceplates	3
1022220001607	Patch Panels & Mounting	3
1022220001608	Tools & Toolkits	3
1022220001609	Structured Wiring & Components	3
1022221001610	Drive Power Cables	3
1022221001611	External Storage Cables & Adapters	3
1022221001612	Internal Storage Cables & Adapters	3
1030222001613	Professional/Entertainment Speakers & Su	3
1030222001614	PA/Portable Sound Systems	3
1030222001615	Professional/Entertainment Microphones	3
1030222001616	Professional/Entertainment CD/Cassette P	3
1030222001617	DJ Equipment	3
1030222001618	Professional/Ent. Amps; Mixers; Equalize	3
1030222001619	Professional/Entertainment Accessories &	3
1033022002205	Bluetooth Connectivity Devices	3
1033022002206	Infrared Connectivity Devices	3
1033223001620	I/O Combo Cards	3
1033223001621	Multiport Serial Devices & Cables	3
1033223001622	Parallel Cards	3
1033223001623	Serial Cards	3
1033224001624	Video Switchboxes & Splitters (for Compu	3
1033224001625	KVM Switches & Components	3
1033224001626	Serial/Par Switchboxes & Extenders	3
1033224001627	USB Device Switchboxes	3
1033224002047	A/V&AudioExtDevices	3
1033225001628	Firewire Connectivity Devices	3
1033225001629	USB Connectivity Devices	3
1033225001630	USB/Firewire Connectivity Devices	3
1033226001631	Keyboards	3
1033226001632	Keypads	3
1033226001633	Keyboard/Mouse Combos	3
1033227001634	Graphics Tablets/Stylus	3
1033227001635	Mice	3
1033227001636	Touchpads	3
1033227001637	Trackballs	3
1033227001638	Whiteboards	3
1033227001639	Interactive Presentation Devices	3
1033228001640	Gamepads	3
1033228001641	Joysticks/Flightsticks	3
1033228001642	Wheels & Pedals	3
1033229001643	Bluetooth Connectivity Devices	3
1033229001644	Infrared Connectivity Devices	3
1040230001645	Customer Service Training	3
1040230001646	Financial Training	3
1040230001647	General Business Training	3
1040230001648	Human Resources Training	3
1040230001649	Leadership/Management Training	3
1040230001650	Project Management Training	3
1040230001651	Safety Training	3
1040230001652	Sales Training	3
1040231001653	Apple Certification Training	3
1040231001654	Cisco Certification Training	3
1040231001655	CompTia Certification Training	3
1040231001656	General Certification Training	3
1040231001657	Linux Certification Training	3
1040231001658	Microsoft Certification Training	3
1040231001659	Novell Certification Training	3
1040232001660	Database Training	3
1040232001661	Desktop Publishing Training	3
1040232001662	E-mail/Messaging Training	3
1040232001663	General Application Training	3
1040232001664	Multimedia/Graphics Training	3
1040232001665	Operating System Training	3
1040232001666	Presentation Training	3
1040232001667	Spreadsheet Training	3
1040232001668	Suite Training	3
1040232001669	Word Processing Training	3
1040233001670	General Programming Training	3
1040233001671	Programming Language Training	3
1040233001672	Web Programming & Design Training	3
1040234001673	General Technology Training	3
1040234001674	Internet/eCommerce Training	3
1040234001675	Network Training	3
1040234001676	Security Training	3
1040234001677	Storage Training	3
1040235001678	Ingram Micro Classroom Training	3
1040235001679	Ingram Micro Self Guided Training	3
1042273001922	Brochures	3
1042273001923	Catalogues	3
1042273001924	Newsletters	3
1042273001925	Guides	3
1042274001926	Standard	3
1042274001927	Postcards	3
1042274001928	Nimax	3
1042275001929	Reseller Advertising	3
1042275001930	CMP	3
1042275001931	Channel Advisor	3
1042275001932	End User	3
1042276001933	Binder	3
1042276001934	CD Book	3
1042276001935	Dimensionals	3
1042276001936	Signage	3
1043277001937	Communities	3
1043277001938	Standard	3
1043277001939	Targeted	3
1043277001940	Evite	3
1043278001941	Banners	3
1043278001942	Categories ads	3
1043279001943	Web site	3
1043279001944	Vendor stores	3
1043279001945	Web pages	3
1043280001946	Presentations	3
1043280001947	Survey	3
1043280001948	Registration	3
1043280001949	Webinars	3
1044281001950	Roadshows	3
1044281001951	Consumer shows	3
1044281001952	Showcase	3
1044282001953	Meetings	3
1044282001954	Conferences	3
1044283001955	Access fee	3
1044283001956	Animations	3
1044283001957	Hot seats	3
1044283001958	Entertainment	3
1044284001959	Press conferences	3
1044284001960	Parties	3
1045285001961	Technology	3
1045285001962	Vertical	3
1045285001963	Communities	3
1045286001964	End User Lead generation	3
1045287001967	Sales specialist spiffs	3
1045289001970	Loyalty program	3
1045289001971	Incentive trips	3
1046290001972	Reseller telemarketing	3
1046290001973	End user telemarketing	3
1046291001974	On hold message	3
1046291001975	Phone message	3
1046292001976	Fax	3
1046292001977	SMS	3
1047293001978	Demo corner	3
1047293001979	Sales floor training	3
1047294001980	Solution Center	3
1047294001981	Technical training	3
1047295001982	Demo center	3
1048296001983	Agency Express	3
1048296001984	CAP program	3
1049297001985	Trending	3
1049297001986	Studies	3
1049297001987	Propensity	3
1049297001988	Shopping cart analysis	3
1049297001989	Trending - Studies - Propensity - Shoppi	3
1049297001990	Market research	3
1050008002087	Rolling Luggage	3
1050008002088	Luggage Sets	3
1050008002089	Carry-On Luggage	3
1050008002090	Briefcases	3
1050008002091	Planners/Padfolios	3
1050017002182	General Use Binoculars	3
1050017002183	Night Vision Binoculars	3
1050017002184	General Use Monoculars	3
1050017002185	Night Vision Monoculars	3
1050038002332	Light Switches	3
1050038002333	Home Automation Modules	3
1050038002334	Home Automation Accessories	3
1050038002335	Home Automation System Controllers	3
1050038002336	Home Automation Sensors	3
1050236001680	Central Vacuum Systems & Accs.	3
1050236001681	Air Filtration Systems & Accs.	3
1050236001689	Air Conditioners	3
1050236001690	Freezers	3
1050236001691	Refrigerators	3
1050236001692	Washers/Dryers	3
1050237001682	Cookers/Steamers	3
1050237001683	Microwave Ovens	3
1050237001684	Microwave/Toaster Ovens	3
1050237001685	Vacuum Cleaners	3
1050237001686	Radios/CD Players	3
1050237001687	Clocks	3
1050237001688	Other Electronics	3
1050239001693	Personal Care Devices	3
1050239001694	Dietary Supplements	3
1051298001991	Branding	3
1051298001992	PR Services	3
1051298001993	Media Planning	3
1051298001994	Design	3
1052299001995	Funded Positions	3
1052302001996	Funded Capital	3
1052303001997	Funded T&E	3
1052304001998	Funded IT	3
1053300002000	Fees	3
1053300002001	Invitationals	3
1053300002002	Social networks	3
1054301002003	Other	3
1055100100001	IML Services Inbound	3
1055100100002	IML Services Outbound	3
1055100100003	IML Services Storage	3
1055100100004	IML Services VAS	3
1055100100005	IML Services IT Fees	3
1055100100006	IML Services Freight Revenues	3
1055100100007	IML Services Freight Costs	3
1055100100008	IML Services Returns	3
1055100100009	IML Services Start Up Fees	3
1055100100010	IML Services Fixed Fees	3
1055400003000	IML	3
1055400003001	IM Logistics Apparel	3
1055400003002	IM Logistics Non-Conveyable	3
1055400003003	IM Logistics Systems	3
1055400003004	IM Logistics Accessories	3
1055400003005	IM Logistics Ink	3
1055400003006	IM Logistics Toner	3
1055400003007	IM Logistics Heavy Bags	3
1055400003008	CI - Prepay SIM Card	3
1055400003009	CI - Postpay SIM Card	3
1055400003010	CI - Devices	3
1055400003011	CI - Accessories	3
1055400003012	Network Equipment	3
1055400003013	Facilities Corporate	3
1055400003014	Hard VM (Visual Merchandise)	3
1055400003015	Soft VM (Visual Merchandise)	3
1055400003016	Retail Fixtures	3
1055400003017	Facilities Repair and Maintenance	3
1055400003018	Commercial	3
1056287001965	Sales rep incentives	3
1056287001966	Blitz Days	3
1056287001968	Sales specialist spiffs	3
1056289001970	Loyalty program	3
1056289001971	Incentive trips	3
1057288001969	Cash Incentives	3
1058404002349	LED Light Bulbs	3
1058404002350	LED Tubes	3
1058405002351	LED Strips	3
1058405002352	LED Bars	3
1058405002353	LED Modules	3
1058406002354	LED Indoor Lighting	3
1058406002355	LED Outdoor Lighting	3
1058407002356	LED Power Supplies	3
1058407002357	LED Heat Sinks & Thermal Management	3
1058407002358	LED Transformers & Drivers	3
1058407002359	LED Control Panels	3
1060240001695	Rings	3
1060240001696	Earrings	3
1060240001697	Bracelets	3
1060240001698	Necklaces	3
1060241001699	Men's Watches	3
1060241001700	Ladies' Watches	3
1060241001701	Children's Watches	3
1060241001702	Unisex Watches	3
1060241001703	Specialty Watches	3
1060241001704	Straps & Accessories	3
1090242001705	Keyboard Based Terminals	3
1090242001706	Pen Based Terminals	3
1090242001707	Vehicle Mount Terminals	3
1090242001708	Specialty Terminals	3
1090242002126	Portable Data Terminals	3
1090243001709	Handheld RFID Reading Terminals	3
1090243001710	Fixed Mount RFID Reader/Encoder	3
1090243001711	Portable/Handheld RFID Readers	3
1090243001712	RFID Antennas	3
1090244001713	AIDC Access Points	3
1090244001714	AIDC Wireless Adapters	3
1090244001715	AIDC Wireless Switches	3
1090244001716	AIDC Antennas & Access Ports	3
1090245001717	Wand Barcode Readers	3
1090245001718	Handheld Scanners	3
1090245001719	Presentation Scanners	3
1090245001720	In-Counter Scanners	3
1090245001721	Fixed Mount Scanners	3
1090245001722	Specialty Scanners	3
1090245001723	Barcode Verifiers	3
1090245001724	Barcode Slot Reader	3
1090245001725	Scanner Cables	3
1090246001726	Barcode Label Printers	3
1090246001727	Mobile Label Printers	3
1090246001728	RFID Printers	3
1090246001729	ID Card Printers	3
1090246001730	Auto ID Printer Service Parts	3
1090247001731	Thermal Receipt Printers	3
1090247001732	Impact Receipt Printers	3
1090247001733	Inkjet Receipt Printers	3
1090247001734	Hybrid Printers	3
1090247001735	Mobile POS Printers	3
1090247001736	POS Printer Service Parts	3
1090248001222	Cash Registers	3
1090248001737	Touch Screen POS Terminals	3
1090248001738	Standalone POS Computer Terminals	3
1090248001739	POS Ordering Systems	3
1090248001740	Kiosk POS Terminals	3
1090249001741	Cash Drawers & Trays	3
1090249001742	POS Keyboards	3
1090249001743	POS Touchscreens	3
1090249001744	Magnetic Stripe Readers	3
1090249001745	Check Readers	3
1090249001746	Pole Displays & Specialty Displays	3
1090249001747	POS Scales	3
1090249001748	Pin Pad Terminals	3
1090249001749	Debit/Credit Card Authorization Terminal	3
1090249001750	Signature Capture Terminals	3
1090249001751	Smartcard Readers	3
1090249002127	Authorization Terminals	3
1090250001752	AIDC/POS Application Development Softwar	3
1090250001753	AIDC/POS Barcode Label Software	3
1090250001754	AIDC/POS Device Management Software	3
1090250001755	AIDC/POS Data Capture Application Softwa	3
1090250001756	AIDC/POS Miscellaneous Software	3
1090250001757	AIDC/POS Terminal Emulation Software	3
1090250001758	AIDC/POS WRLS Network Management Tools	3
1090250001759	Retail Software	3
1090250002128	Hospitality Software	3
1090251001760	Epson	3
1090251001761	Handheld Products	3
1090251001762	Hewlett Packard	3
1090251001763	Oneil	3
1090251001764	Pioneer	3
1090251001765	PSC	3
1090251001766	Symbol	3
1090251001767	Ultimate	3
1090251001768	Unitech	3
1090251001769	Zebra	3
1090251001770	Miscellaneous Service Fees	3
1090252001771	POS Solutions	3
1090252001772	Asset Tracking Solutions	3
1090252001773	Inventory Control Solutions	3
1090252001774	Time & Attendance Solutions	3
1090252001775	Labeling Solutions	3
1090252001776	Healthcare Bundles	3
1090252001777	Photo ID Bundles	3
1090252001778	Wireless Infrastructure Bundles	3
1090253001779	AIDC Mobile Terminal Accessories	3
1090253001780	AIDC Wireless Infrastructure Accessories	3
1090253001781	RFID Accessories	3
1090254001782	Barcode Scanner Accessories	3
1090254001783	ID Printer Accessories	3
1090255001784	POS Printer Accessories	3
1090255001785	POS Terminal Accessories	3
1090255001786	POS Peripheral Accessories	3
1090255002129	Kiosk Accessories	3
1090255002130	Barcode Printer Accessories	3
1090255002131	Barcode Printer Supplies	3
1090256001787	Common POS/AIDC Accessories	3
1090257001788	ID Printer Supplies	3
1090257001789	POS Printer Supplies	3
1098001002004	Action Figures	3
1098001002005	Building Toys	3
1098001002006	Educational Toys	3
1098001002007	Electronic Toys	3
1098002002008	Paints	3
1098002002009	Stationary	3
1098002002010	Crayon & Pencil	3
1098002002011	Pen & Marker	3
1098003002012	Percussion	3
1098003002013	String	3
1098003002014	Keyboards	3
1098003002015	Horns	3
1099258001790	Back & Foot Rests	3
1099258001791	Calculators	3
1099258001792	Copy Holders	3
1099258001793	CPU Stands & Enclosures	3
1099258001794	Desk Organizers	3
1099258001795	Dust Covers	3
1099258001796	Keyboard Accessories	3
1099258001797	Mouse & Keyboard Pads & Rests	3
1099258001798	Travel Lights & Fans	3
1099259001799	Auto/Marine Amps; Crossovers; Equalizers	3
1099259001800	Auto/Marine Receivers	3
1099259001801	Auto/Marine Speakers & Subwoofers	3
1099259001802	Vehicle Protecion & Convenience Devices	3
1099259001803	Auto/Marine Accessories	3
1099259002095	Vehicle Monitors	3
1099260001804	Notebook Accessory Kits	3
1099260001805	Notebook Carrying Cases & Carts	3
1099260001806	Notebook Docking Options & Stands	3
1099260001807	Notebook Expansion Bays & Options	3
1099260001808	Notebook Power Options	3
1099260001809	Tablet PC Accessories	3
